videoId,viewsSubscriberRatioMinMaxScaler,title
px6V2WX0TPM,0.0016876082671875223,Hands on with the NEW iPhone 14!
ZUDHLP1JMZE,0.0012266281960781511,"$2,300 iPhone Case?!"
Gzp-OML-4lY,0.002399618496781143,💜 New Purple iPhone 12!
3tNs-5ifPKQ,0.000411093034179734,How to make Apple Smores | Halloween Treats | iJustine
-MejjGs5gTk,0.0008178570628785811,PAC-MAN CAKE!
Y7UXjz0_a9k,0.000826667008297685,MagSafe Duo Charger!
5T_2yeeMcCs,0.0007503405218578752,Thom Browne Samsung Galaxy Z Fold 2 - The most BEAUTIFUL Unboxing!
mgMT0TmXOA0,0.00013956392828061624,Vince Vaughn interview - The Internship | iJustine
0n-xaq-z3ic,0.0004613320062883411,Samsung Galaxy Z-Flip and Z-Fold 3!
_rXOrInQ7Tc,0.0003138978280558169,Spiralizing Food!!!
eUZaZk_9yz8,0.0008878086108076453,New Apple Watch Band review! | iJustine
H0AgZYhWG_g,0.0006374986201490777,How to make Pumpkin Bread 🎃🍞 | iJustine
Hyi8QNIKSek,0.0007435602871044269,"OMG! New AirPods 2, iPads, and Apple Watch Bands!!!!!"
D4pdh0eTsxw,0.00046955903559741936,Green Eggs and Not Ham | St. Patrick's Day Breakfast
KYyfTA6TDlE,0.0003396107259395788,New Yellow iPhone 14!
50fqpXh0FO8,0.001552329746783996,*NEW* AirPods 3!
sIrPk9l2q-0,0.0006213626625660314,How to make NO BAKE peanut butter cookies! | iJustine
zXXxZmwpPnc,0.0015986691554418825,MASSIVE GADGET UNBOXING!!
EHZqE7iwqv8,0.0006627497063778053,Cinematic iPhone Videos! Osmo Mobile 3!
OGmR0_yOYBA,0.0006505875896445421,"Samsung Galaxy Z Fold 2 - Unboxing, Gaming and first impressions!"
P1j5nqNWcyE,0.00043151286001734076,Samsung Galaxy Fold - A FAIL?!
1vl9N4Sk8QY,0.0012613254297962043,NEW 2020 iPhone SE!
-zXFpgw4VRc,0.0007711430377732553,iPhone MagSafe Battery Pack!
EdwdgT3xArE,0.00030602119430318044,Unboxing the NEW Nothing Ear(1) Headphones!
sDgePvjRLNQ,0.00035422076738973415,Simple HDR iPhone 12 Editing App! New Clips update!
zen1twV3O48,0.00012758266086680643,New OPPO Find X5 Pro! Unboxing and First Impressions!
x1F4LfekULA,0.0007962633311905914,The New Microsoft Surface Duo 2 and Laptop Studio!
SdVHRYnTFUI,0.0008034601652692108,First look at the NEW Apple Watch Ultra!!
IBKpA2AhLhc,0.0008463279128840116,Top 5 Mac OS Big Sur Feature!
DKHGHy6gcJc,0.0004890261730557608,Pink Samsung Galaxy 5G S20
t2YMUu-L0YY,0.0004232260858437994,💀 Halloween Grave Yard Cake!
6XWgNQrfq6A,0.0007246356976044469,iOS 14 and all the WWDC updates!
Aoa8tJFcOOk,0.00042517021602792666,Top iPad OS 15 Features!
h_ZbB_fbR7c,0.00046074747545225034,"Apple M1 Chip - NEW MacBook Air, 13in MacBook and Mac Mini 2020"
E2jsZK1el6o,0.00022237515460369454,How We Work From Home - Our Quarantine Editing Workflow!
m2nIee0squE,0.002102408787519595,How to make Donuts 🍩 | iJustine
F_IQMNFrtK4,0.0003760454049052404,Samsung Galaxy Z Flip3 5G - Review in Hawaii!
-ZvU59V8qKc,0.0006869124672376774,MacBook Pro Touchbar review! | iJustine
tY0CyLQINag,0.00038417716537639127,"*NEW* M2 MacBook Air! iOS 16, iPad OS 16 and more at #WWDC"
1L5bI2nUXJU,0.0018452878823123143,New M2 MacBook Air and 13in MacBook Pro!
dg69erDLfw4,0.0012118938207208718,Cutting Soap AGAIN!
GCcQdcN7AAg,0.0006779394344858527,Candy Corn Pudding Pops | Halloween Treats | iJustine
cVU_5Grzu3Y,0.0006246922277152604,How to make BB-8 Drinks! | iJustine
