videoId,viewsSubscriberRatio_zscore,title
0xFjbrvmae8,-0.17277790173919919,iOS 15.1 RC Released - What's New?
jYxCvQZcDk8,-0.15594925716560817,"iOS 15.1 RC - More Changes, Bug Fixes, Battery Life & Release Date"
F5t4lTvO__k,-0.19013656180397615,Apple M1X MacBook Pro Event Confirmed! iOS 15.1 & macOS Monterey Release Date
fQKbZECcvac,-0.1831171201879495,macOS Monterey 12.2 Released - What's New?
QOW5Z-O3wLU,-0.1763156898700216,iOS 15.3 RC Released - What's New?
pBu4-gWmukI,-0.19178600656533926,iOS 15.3 Beta 2 Released - What's New?
oWLNs7nQtYc,-0.181700373114527,iOS 15.1 Beta 4 Released - What's New?
_pe7PTyDCRA,-0.14669128337344592,iOS 15.2.1 Released - What's New?
wDnSJrzGAkw,-0.13483708222144117,iOS 16 Wishlist - Features & Changes We Hope to See
r6r74o_0SuU,-0.17351222123129792,iOS 15.3 RC Review - A Few Days Later
s57D0pPNOAc,-0.17629708710955508,"iOS 15.1 Beta 3 Follow Up - Changes, Performance, Battery Life & More"
FF_1QsOWi4g,-0.12944064986506218,12 AWESOME iPhone Tricks You Didn’t Know Existed!
rib1hKVbUX0,-0.18013154031518538,iOS 15.2.1 & iOS 15.3 Beta 2 Review - 1 Week Later
ODSEyhWatuc,-0.17484900907113637,"iOS 15, 15.0.1 & iOS 15.1 - Bugs & Bug Fixes, Performance, Battery Life & More"
5KXD7gZZc4A,-0.18242261713053348,"iOS 15.1 & 15.2 Beta 1 Follow-Up - Changes, Bug Fixes, Performance, Battery Life"
_zf_nd31MTo,-0.18057931202325625,"iOS 15.0.2 & iOS 15.1 Beta 4 - Additional Changes, Bug Fixes, Performance & Battery Life"
3nTqhjuDr_M,-0.19429150467238018,iOS 14.4.1 & iOS 14.5 Beta 3 - Follow-Up Review
eTzDrCZtOgI,-0.18176336140873817,iOS 15.1 Beta 3 Released - What's New?
n0qxmgbCGo8,0.1719247224207007,Apple AirPods Review (3 Months Later) - A $160 Joke?
wvtTU0V6604,-0.13849399329209292,iOS 15 RC Released - What's New?
3sNlb7js46I,-0.11775942174897402,iOS 15.0.2 Released - What's New?
O2Lm3oJPf3U,-0.17546355289496832,iOS 14.5 Beta 2 - 2 Weeks Later Review
rj90i2F61Us,0.5107589915639661,Why iPhone 7 Plus is the BEST iPhone to Buy in 2019!
cpboNgfU0-I,-0.050394583364928615,NEW iOS 15 AirPods Pro 4A400 Update - What's New?
xAkiaUefafk,-0.16726202007877214,"iOS 15 Beta 4 Follow-Up - Additional Features, Performance, Battery Life & More"
wvouVm-uOHE,-0.18137955708753456,iOS 15.2 Beta 1 Released - What's New?
j2NijIYM0zs,-0.1571959684810825,iOS 15.0.1 Released - What's New?
